"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.0617283950617284,0.0987654320987654,0.0617283950617284,0.0740740740740741,0.0617283950617284,0.0617283950617284,0.0617283950617284,0.0864197530864197,0.0617283950617284,0.37037037037037
"2",0.0585106382978723,0.0638297872340425,0.0372340425531915,0.218085106382979,0.0319148936170213,0.0478723404255319,0.0691489361702128,0.0797872340425532,0.101063829787234,0.292553191489362
"3",0.0705128205128205,0.0384615384615385,0.0448717948717949,0.0512820512820513,0.0641025641025641,0.0641025641025641,0.0384615384615385,0.0448717948717949,0.0897435897435897,0.493589743589744
"4",0.0148367952522255,0.0237388724035608,0.0237388724035608,0.0356083086053412,0.813056379821958,0.0267062314540059,0.0148367952522255,0.0148367952522255,0.0178041543026706,0.0148367952522255
"5",0.0582959641255605,0.0717488789237668,0.242152466367713,0.0941704035874439,0.0493273542600897,0.0582959641255605,0.121076233183857,0.0582959641255605,0.174887892376682,0.0717488789237668
"6",0.141843971631206,0.049645390070922,0.120567375886525,0.170212765957447,0.0567375886524823,0.0638297872340425,0.106382978723404,0.148936170212766,0.099290780141844,0.0425531914893617
"7",0.0494505494505494,0.0494505494505494,0.032967032967033,0.131868131868132,0.0494505494505494,0.0494505494505494,0.0934065934065934,0.0879120879120879,0.406593406593407,0.0494505494505494
"8",0.0746268656716418,0.0522388059701493,0.126865671641791,0.0895522388059701,0.119402985074627,0.186567164179104,0.0746268656716418,0.082089552238806,0.0746268656716418,0.119402985074627
"9",0.0347826086956522,0.208695652173913,0.0217391304347826,0.0826086956521739,0.0260869565217391,0.0782608695652174,0.282608695652174,0.0391304347826087,0.147826086956522,0.0782608695652174
"10",0.0372093023255814,0.0511627906976744,0.0372093023255814,0.106976744186047,0.0418604651162791,0.0790697674418605,0.493023255813954,0.0604651162790698,0.0372093023255814,0.0558139534883721
"11",0.109489051094891,0.0948905109489051,0.0510948905109489,0.0656934306569343,0.0437956204379562,0.0583941605839416,0.0875912408759124,0.0802919708029197,0.233576642335766,0.175182481751825
"12",0.0393700787401575,0.0590551181102362,0.0905511811023622,0.062992125984252,0.0275590551181102,0.21259842519685,0.094488188976378,0.295275590551181,0.0905511811023622,0.0275590551181102
"13",0.0232558139534884,0.0310077519379845,0.0465116279069767,0.10077519379845,0.0891472868217054,0.0271317829457364,0.0232558139534884,0.0697674418604651,0.554263565891473,0.0348837209302326
"14",0.0663265306122449,0.0969387755102041,0.0561224489795918,0.331632653061224,0.0459183673469388,0.122448979591837,0.0561224489795918,0.0459183673469388,0.0969387755102041,0.0816326530612245
"15",0.0297872340425532,0.0425531914893617,0.0638297872340425,0.051063829787234,0.0297872340425532,0.0468085106382979,0.0340425531914894,0.0425531914893617,0.0553191489361702,0.604255319148936
"16",0.107142857142857,0.0595238095238095,0.0297619047619048,0.101190476190476,0.0297619047619048,0.0476190476190476,0.178571428571429,0.273809523809524,0.0595238095238095,0.113095238095238
"17",0.074468085106383,0.0851063829787234,0.106382978723404,0.138297872340426,0.074468085106383,0.0638297872340425,0.106382978723404,0.0638297872340425,0.074468085106383,0.212765957446809
"18",0.0178041543026706,0.0326409495548961,0.0178041543026706,0.0207715133531157,0.818991097922849,0.0148367952522255,0.0207715133531157,0.0148367952522255,0.0267062314540059,0.0148367952522255
